"","Marca Confiable","Marca innovadora","Marca que endulza mejor","Marca con amplia trayectoria","Marca Experta","Es la marca que me ofrece mejor relación costo /beneficio","Marca Cercana","Es la Marca líder en el mercado","Marca Lejana","Marca Nueva","Es una marca reconocida","Es una marca de excelente calidad /pureza","Es una marca saludable","Es una marca que no se encuentra fácil en supermercados","Es sostenible con el medio ambiente","Es la más dulce","Es una marca costosa","Es la marca más procesada","Es la más natural","Es una marca económica","Es orgánica","Se disuelve fácil","Es una marca con producto de fácil disolución","Es la marca que no modifica el sabor de las comidas","Es la marca que no modifica el color de las comidas"
"89","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Providencia","Providencia","Riopaila","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Providencia","Incauca","Riopaila","Riopaila","Providencia","Riopaila","Riopaila","Riopaila","Riopaila"
"90","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca"
"91","Manuelita","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Riopaila","Providencia","Riopaila","Riopaila","Providencia","Riopaila","Manuelita","Riopaila","Incauca","Providencia","Riopaila","Riopaila","Providencia","Providencia","Providencia","Riopaila","Providencia","Incauca","Providencia","Riopaila","Providencia","Manuelita","Manuelita","Riopaila","Riopaila"
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Manuelita","Providencia","Manuelita","Manuelita","Incauca","Manuelita","Incauca","Manuelita","Riopaila",NA,"Manuelita","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Incauca","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Riopaila","Incauca","Manuelita","Riopaila","Incauca","Riopaila","Riopaila","Manuelita","Providencia","Providencia","Riopaila","Incauca","Incauca","Incauca","Providencia","Manuelita","Incauca","Incauca","Manuelita","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca"
"101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila","Manuelita","Providencia","Providencia","Manuelita","Incauca","Riopaila","Providencia","Manuelita","Riopaila","Incauca","Providencia","Riopaila","Manuelita","Riopaila","Riopaila","Riopaila","Riopaila","Riopaila"
"108","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Manuelita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Riopaila","Riopaila","Incauca","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita"
"112","Incauca","Incauca","Riopaila","Incauca","Incauca","Incauca","Incauca","Incauca","Riopaila","Providencia","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Incauca","Providencia","Providencia","Incauca","Incauca","Incauca","Incauca"
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Manuelita","Riopaila","Manuelita","Manuelita","Riopaila","Manuelita","Manuelita","Manuelita","Manuelita","Providencia","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Manuelita","Incauca","Incauca","Manuelita","Providencia","Providencia","Manuelita","Manuelita","Manuelita","Manuelita"
"115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
