"","P17_1","P17_2","P17_3"
"312","Variedad de tiendas para mi","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación"
"313","Ubicación","Variedad de tiendas para mi","Que realicen ferias y/o eventos de mi interés"
"314","Opciones de servicios (bancos, salud, servirtecas, etc)","Que realicen ferias y/o eventos de mi interés","Ambiente en general (como se siente)"
"315","Ubicación","Precios","Variedad de tiendas para mi"
"316","Ubicación","Precios","Variedad de tiendas para mi"
"317","Ambiente en general (como se siente)","Opciones de tiendas para toda la familia","Precios"
"318","Ubicación","Seguridad","Variedad de tiendas para mi"
"319","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)","Variedad de tiendas para mi"
"320","Que realicen ferias y/o eventos de mi interés","Ubicación","Precios"
"321","Opciones de servicios (bancos, salud, servirtecas, etc)","Ubicación","Seguridad"
"322","Variedad de tiendas para mi","Precios","Ubicación"
"323","Precios","Ubicación","Variedad de tiendas para mi"
"324","Ubicación","Opciones de servicios (bancos, salud, servirtecas, etc)","Seguridad"
"325","Opciones de tiendas para toda la familia",NA,NA
"326","Ambiente en general (como se siente)","Que no cobren el parqueadero","Seguridad"
"327","Variedad de tiendas para mi","Facilidad y amplitud del Estacionamiento","Opciones de entretenimiento (cine, juegos para niños, karts etc)"
"328","Opciones de entretenimiento (cine, juegos para niños, karts etc)","Ubicación","Que no cobren el parqueadero"
"329","Ubicación","Precios","Opciones de tiendas para toda la familia"
"330","Ubicación","Precios","Variedad de tiendas para mi"
"331","Ubicación","Ambiente en general (como se siente)","Variedad de tiendas para mi"
"332","Ubicación","Seguridad","Variedad de tiendas para mi"
"333","Ambiente en general (como se siente)","Precios","Ubicación"
"334","Precios","Variedad de tiendas para mi","Ambiente en general (como se siente)"
"335","Variedad de tiendas para mi",NA,NA
"336","Precios","Variedad de tiendas para mi","Ubicación"
"337","Precios","Ubicación","Que no cobren el parqueadero"
"338","Variedad de tiendas para mi","Seguridad","Ubicación"
